,seed,recommender,annotated,skipped,budget
0,0,Random,110.0,503,1000
1,0,LinGreedy,244.0,60,1000
2,0,LinUCB,244.0,42,1000
3,0,TS,249.0,17,1000
4,0,LinTS,249.0,55,1000
5,0,ClustersTS(L=2),247.0,24,1000
6,0,ClustersTS(L=5),283.0,25,1000
7,0,ClustersTS(L=10),248.0,38,1000
8,0,LSHNearest,246.0,81,1000
9,0,Random,229.0,986,2000
10,0,LinGreedy,387.0,157,2000
11,0,LinUCB,388.0,71,2000
12,0,TS,324.0,27,2000
13,0,LinTS,383.0,127,2000
14,0,ClustersTS(L=2),347.0,45,2000
15,0,ClustersTS(L=5),398.0,61,2000
16,0,ClustersTS(L=10),397.0,73,2000
17,0,LSHNearest,367.0,136,2000
18,0,Random,330.0,1441,3000
19,0,LinGreedy,456.0,239,3000
20,0,LinUCB,448.0,128,3000
21,0,TS,346.0,48,3000
22,0,LinTS,450.0,181,3000
23,0,ClustersTS(L=2),399.0,59,3000
24,0,ClustersTS(L=5),430.0,65,3000
25,0,ClustersTS(L=10),454.0,96,3000
26,0,LSHNearest,415.0,207,3000
27,0,Random,396.0,1920,4000
28,0,LinGreedy,491.0,311,4000
29,0,LinUCB,482.0,154,4000
30,0,TS,357.0,73,4000
31,0,LinTS,474.0,251,4000
32,0,ClustersTS(L=2),410.0,95,4000
33,0,ClustersTS(L=5),451.0,85,4000
34,0,ClustersTS(L=10),486.0,137,4000
35,0,LSHNearest,447.0,249,4000
36,0,Random,466.0,2374,5000
37,0,LinGreedy,511.0,378,5000
38,0,LinUCB,500.0,200,5000
39,0,TS,365.0,107,5000
40,0,LinTS,499.0,287,5000
41,0,ClustersTS(L=2),430.0,115,5000
42,0,ClustersTS(L=5),471.0,120,5000
43,0,ClustersTS(L=10),515.0,169,5000
44,0,LSHNearest,452.0,345,5000
45,0,Random,529.0,2837,6000
46,0,LinGreedy,532.0,500,6000
47,0,LinUCB,498.0,198,6000
48,0,TS,365.0,124,6000
49,0,LinTS,506.0,336,6000
50,0,ClustersTS(L=2),437.0,139,6000
51,0,ClustersTS(L=5),481.0,143,6000
52,0,ClustersTS(L=10),554.0,213,6000
53,0,LSHNearest,466.0,423,6000
54,0,Random,529.0,3359,7000
55,0,LinGreedy,528.0,561,7000
56,0,LinUCB,513.0,259,7000
57,0,TS,375.0,117,7000
58,0,LinTS,508.0,399,7000
59,0,ClustersTS(L=2),448.0,154,7000
60,0,ClustersTS(L=5),487.0,171,7000
61,0,ClustersTS(L=10),563.0,236,7000
62,0,LSHNearest,473.0,457,7000
63,0,Random,601.0,3795,8000
64,0,LinGreedy,541.0,598,8000
65,0,LinUCB,513.0,296,8000
66,0,TS,368.0,152,8000
67,0,LinTS,509.0,480,8000
68,0,ClustersTS(L=2),453.0,175,8000
69,0,ClustersTS(L=5),497.0,196,8000
70,0,ClustersTS(L=10),563.0,283,8000
71,0,LSHNearest,483.0,531,8000
72,0,Random,613.0,4266,9000
73,0,LinGreedy,549.0,769,9000
74,0,LinUCB,517.0,326,9000
75,0,TS,375.0,172,9000
76,0,LinTS,512.0,521,9000
77,0,ClustersTS(L=2),457.0,226,9000
78,0,ClustersTS(L=5),495.0,198,9000
79,0,ClustersTS(L=10),581.0,305,9000
80,0,LSHNearest,492.0,572,9000
81,0,Random,651.0,4753,10000
82,0,LinGreedy,550.0,757,10000
83,0,LinUCB,517.0,384,10000
84,0,TS,383.0,176,10000
85,0,LinTS,522.0,548,10000
86,0,ClustersTS(L=2),464.0,239,10000
87,0,ClustersTS(L=5),511.0,227,10000
88,0,ClustersTS(L=10),594.0,389,10000
89,0,LSHNearest,504.0,686,10000
90,1,Random,117.0,486,1000
91,1,LinGreedy,250.0,75,1000
92,1,LinUCB,268.0,41,1000
93,1,TS,239.0,21,1000
94,1,LinTS,252.0,69,1000
95,1,ClustersTS(L=2),255.0,25,1000
96,1,ClustersTS(L=5),269.0,19,1000
97,1,ClustersTS(L=10),247.0,34,1000
98,1,LSHNearest,253.0,64,1000
99,1,Random,224.0,953,2000
100,1,LinGreedy,397.0,161,2000
101,1,LinUCB,389.0,72,2000
102,1,TS,321.0,44,2000
103,1,LinTS,385.0,119,2000
104,1,ClustersTS(L=2),351.0,52,2000
105,1,ClustersTS(L=5),394.0,45,2000
106,1,ClustersTS(L=10),397.0,64,2000
107,1,LSHNearest,373.0,143,2000
108,1,Random,317.0,1433,3000
109,1,LinGreedy,447.0,210,3000
110,1,LinUCB,455.0,116,3000
111,1,TS,348.0,58,3000
112,1,LinTS,447.0,163,3000
113,1,ClustersTS(L=2),394.0,72,3000
114,1,ClustersTS(L=5),439.0,69,3000
115,1,ClustersTS(L=10),457.0,110,3000
116,1,LSHNearest,412.0,242,3000
117,1,Random,395.0,1959,4000
118,1,LinGreedy,490.0,326,4000
119,1,LinUCB,478.0,174,4000
120,1,TS,354.0,74,4000
121,1,LinTS,478.0,244,4000
122,1,ClustersTS(L=2),420.0,95,4000
123,1,ClustersTS(L=5),460.0,90,4000
124,1,ClustersTS(L=10),496.0,135,4000
125,1,LSHNearest,431.0,289,4000
126,1,Random,471.0,2397,5000
127,1,LinGreedy,506.0,389,5000
128,1,LinUCB,493.0,177,5000
129,1,TS,360.0,103,5000
130,1,LinTS,490.0,280,5000
131,1,ClustersTS(L=2),434.0,110,5000
132,1,ClustersTS(L=5),470.0,127,5000
133,1,ClustersTS(L=10),525.0,191,5000
134,1,LSHNearest,456.0,371,5000
135,1,Random,517.0,2861,6000
136,1,LinGreedy,527.0,475,6000
137,1,LinUCB,508.0,246,6000
138,1,TS,364.0,114,6000
139,1,LinTS,502.0,338,6000
140,1,ClustersTS(L=2),443.0,147,6000
141,1,ClustersTS(L=5),481.0,128,6000
142,1,ClustersTS(L=10),527.0,206,6000
143,1,LSHNearest,476.0,377,6000
144,1,Random,566.0,3335,7000
145,1,LinGreedy,537.0,517,7000
146,1,LinUCB,507.0,268,7000
147,1,TS,369.0,129,7000
148,1,LinTS,514.0,398,7000
149,1,ClustersTS(L=2),446.0,158,7000
150,1,ClustersTS(L=5),496.0,145,7000
151,1,ClustersTS(L=10),556.0,249,7000
152,1,LSHNearest,467.0,501,7000
153,1,Random,584.0,3857,8000
154,1,LinGreedy,535.0,631,8000
155,1,LinUCB,506.0,295,8000
156,1,TS,368.0,139,8000
157,1,LinTS,515.0,448,8000
158,1,ClustersTS(L=2),445.0,183,8000
159,1,ClustersTS(L=5),491.0,172,8000
160,1,ClustersTS(L=10),569.0,296,8000
161,1,LSHNearest,479.0,507,8000
162,1,Random,620.0,4323,9000
163,1,LinGreedy,550.0,761,9000
